ID,Age,Gender,Province,Education,Religion,Employment,Ideology
R_23304mqXmsGZbzn,52,A woman,Quebec,Some high school,Catholic,Other,8
R_1JQ4ivNkTsiKnte,72,A woman,British Columbia,Some post-secondary,United Church,Retired,6
R_SIXRUj6sdGUkMUN,48,A man,Quebec,Some post-secondary,Catholic,Working part-time,5
R_2e57vaRM0FA9SRR,29,A woman,Quebec,Bachelor's degree,None/Atheist,Working part-time,4
R_OHxsI5jLsXgbLR7,71,A woman,British Columbia,High school,Evangelical/Pentecostal,Working part-time,2
R_sZOdi5hevD2cezf,29,A man,Ontario,Bachelor's degree,Catholic,Working full-time,4
R_3hxLtqn73xmit04,38,A man,Quebec,Bachelor's degree,Catholic,Working full-time,7
R_3MbZFk8EZHViBVT,41,A man,Quebec,College/technical diploma,Catholic,Working full-time,3
R_brufTmx8xcWEEYp,65,A woman,Ontario,Master's degree,Jewish,Retired,4
R_10O8cQYRsgsr6rR,44,A man,Alberta,Bachelor's degree,Agnostic,Working full-time,6
R_1K1qruWuHMAFLoc,50,A woman,British Columbia,Bachelor's degree,Protestant,Working part-time,8
R_1jrc6vuyTNEg2F4,23,A man,Alberta,Some high school,Catholic,Student,5
R_0Gnq8aK3sCcBiUN,53,A man,Quebec,College/technical diploma,None/Atheist,Working full-time,10
R_Ap902ZJJwN4nz3P,61,A woman,Ontario,Master's degree,Jewish,Working part-time,5
R_3l90X6jr2AcDsc1,24,A man,Quebec,Some post-secondary,Salvation Army,Working full-time,8
R_3fxTImKuDQFM1hn,38,A man,Ontario,Some post-secondary,Hindu,Working full-time,8
R_Z3sBbBI4CUkR94J,69,A man,Manitoba,Bachelor's degree,United Church,Retired,3
R_33wfiH0x0tpp4Bt,51,A woman,Ontario,Master's degree,Don't know/ Prefer not to answer,Working part-time,5
R_XZJdlMUZUjeCVrz,50,A man,Manitoba,College/technical diploma,Lutheran,Working full-time,9
R_3mftPlGClWSQZbQ,60,A woman,British Columbia,College/technical diploma,None/Atheist,Working part-time,2
R_1pEvLovtbIunY5o,56,A man,Alberta,Master's degree,Catholic,Working full-time,7
R_rqz4gGevregUJJ7,63,A woman,Saskatchewan,Master's degree,Evangelical/Pentecostal,Self-employed,7
R_3HTi9llU8yY3RaI,25,A woman,Saskatchewan,High school,Don't know/ Prefer not to answer,Disabled,9
R_1hGWBK7joKTJy1k,37,A man,Quebec,Bachelor's degree,Agnostic,Working full-time,7
R_29cUaP4QYf1HwYS,56,A woman,New Brunswick,College/technical diploma,Catholic,Working part-time,5
R_sYekxL4LgWTq7i9,62,A woman,Quebec,Master's degree,Catholic,Working full-time,8
R_Ry3Qo3zuclbHIVH,43,A woman,Ontario,College/technical diploma,Catholic,Working full-time,6
R_pxFlCm9ZSbKmGNb,67,A man,Ontario,College/technical diploma,Sikh,Retired,8
R_3HYsmAZaMlabd0F,70,A man,Nova Scotia,Some high school,Protestant,Retired and working,6
R_2CZKmIidUGxBB47,40,A woman,Quebec,Professional degree or doctorate,Catholic,Working part-time,3
R_12sXVU96LJqKLE7,69,A man,Quebec,College/technical diploma,Catholic,Retired,8
R_3gXSSlMAleEuILK,57,A woman,Ontario,College/technical diploma,Catholic,Working full-time,3
R_12nbdPQx1mO1UjV,34,A woman,Ontario,Professional degree or doctorate,Protestant,Working full-time,3
R_2Vs6nRnYDyvtqkc,40,A woman,Ontario,Bachelor's degree,Jewish,Working full-time,3
R_3h3VmK5AIsyqJbG,34,A woman,Saskatchewan,Bachelor's degree,None/Atheist,Student,3
R_3NPtGJY69vfANfB,61,A woman,Ontario,College/technical diploma,None/Atheist,Working full-time,5
R_2VL5kjGr1CFC6rA,57,A man,British Columbia,High school,Don't know/ Prefer not to answer,Working full-time,5
R_2q8iKXAxvC8WC0J,39,A man,New Brunswick,Master's degree,Baptist,Working full-time,7
R_1ezwsJ9XwkbbVz5,39,A woman,Quebec,College/technical diploma,Catholic,Working part-time,10
R_2TZreKkt1xFJgrF,59,A woman,Ontario,Some post-secondary,None/Atheist,Working full-time,4
R_1ISMNCtSt5jjmm0,67,A man,Quebec,Bachelor's degree,None/Atheist,Retired,7
R_1dmHZK4VRpaJ22J,43,A woman,Ontario,Bachelor's degree,None/Atheist,Working part-time,5
R_3RebOdp2cvUPaxp,59,A woman,Quebec,Some post-secondary,Catholic,Working full-time,5
R_2YtSC0yZQ7wqXLW,61,A woman,Ontario,Bachelor's degree,None/Atheist,Working full-time,1
R_2U5fv6HpKXetLej,44,A woman,Quebec,Professional degree or doctorate,None/Atheist,Working full-time,3
R_2b2UJAxhyqZ4a4H,39,A woman,Ontario,Bachelor's degree,Hindu,Working full-time,7
R_2Yoia06GItA9fJE,59,A woman,Ontario,High school,Don't know/ Prefer not to answer,Working full-time,5
R_2VvIsTQSIwzHtxD,59,A woman,Ontario,High school,Muslim,Disabled,10
R_33xKHtgt7etDrAR,23,A man,Manitoba,College/technical diploma,Evangelical/Pentecostal,Working full-time,7
R_122Rwl4MsT3WHRs,27,A man,British Columbia,Professional degree or doctorate,Anglican,Working full-time,7
R_1IAa7icsQrJduog,19,A man,Ontario,Elementary school,Other,Self-employed,3
R_2s74vsFBGNDNZ8M,57,A woman,British Columbia,Elementary school,Protestant,Other,5
R_1CrrspmN5OGvwi1,68,A man,Alberta,Master's degree,Catholic,Retired,7
R_1QazIYHSHKdNeKU,44,A woman,Ontario,College/technical diploma,None/Atheist,Caring for family,8
R_1IFPenF3QuBPBah,64,A woman,Nova Scotia,Bachelor's degree,United Church,Retired,9
R_2urlvvTS55tznnH,82,A woman,Ontario,College/technical diploma,Anglican,Retired,6
R_12LNTqQScY891C5,58,A man,Manitoba,High school,None/Atheist,Retired,10
R_2D18PFee8b7kBwo,54,A man,Manitoba,Bachelor's degree,Muslim,Working part-time,6
R_3M04CHtQC4puT2l,29,A woman,British Columbia,Bachelor's degree,Buddhist,Working full-time,6
R_27a5pYaNUEpwRkV,40,A woman,British Columbia,College/technical diploma,None/Atheist,Self-employed,5
R_b10dFLdslcM4eLD,36,A woman,Quebec,Bachelor's degree,None/Atheist,Working full-time,4
R_2anLg6fi6ypGNoY,69,A man,Newfoundland and Labrador,College/technical diploma,Anglican,Retired,9
R_AdNMecL35zQEl6V,55,A man,Quebec,College/technical diploma,Catholic,Working full-time,5
R_1HeLWO4xDzDwApM,20,A woman,Alberta,Some post-secondary,Buddhist,Unemployed,3
R_1roZtP3AISAUHis,25,A woman,Ontario,High school,None/Atheist,Working part-time,3
R_RwWV4skyQGaTmP7,54,A woman,Quebec,Some post-secondary,Catholic,Working full-time,5
R_3nl4ybCkANWZtPY,39,A man,Ontario,Master's degree,None/Atheist,Working full-time,4
R_2Swp28AyWrX5ID1,44,A man,Alberta,Some post-secondary,Agnostic,Working full-time,3
R_3Emtx8ysEHt4Yt1,51,A woman,Ontario,College/technical diploma,Protestant,Working full-time,5
R_2CTyHmu4ngoi7Zo,58,A woman,Ontario,Some post-secondary,Catholic,Self-employed,5
R_3j9AGUucmtgXe33,53,A woman,Ontario,College/technical diploma,Agnostic,Working full-time,5
R_bC5TLTaYwl4qpSp,72,A woman,British Columbia,High school,Evangelical/Pentecostal,Retired,8
R_1gNlw31GH4dIOvb,23,A woman,Ontario,Bachelor's degree,Other,Working full-time,6
R_1ePi4xoQzpeh4zw,24,A man,Nova Scotia,Some post-secondary,None/Atheist,Student,4
R_21oCD4melRDXIIq,44,A woman,Ontario,Bachelor's degree,None/Atheist,Working full-time,1
R_3FUSDF18sVqzKmC,66,A woman,Manitoba,Some post-secondary,Anglican,Retired,4
R_DCZs6akOJb1ISch,35,A woman,Ontario,High school,Muslim,Unemployed,5
R_1FgkX5IzQ58EsGf,41,A woman,Ontario,Bachelor's degree,None/Atheist,Working full-time,0
R_1E1oBXN0s9nmJJd,69,A woman,Nova Scotia,College/technical diploma,Baptist,Working full-time,7
R_1fjuygFkflnabEH,35,A woman,Manitoba,College/technical diploma,None/Atheist,Working full-time,0
R_3J4aoKoJrTW0fhL,49,A woman,Quebec,Bachelor's degree,None/Atheist,Working full-time,6
R_3qKCTncSLijZDho,64,A woman,Ontario,College/technical diploma,Orthodox Christian,Self-employed,5
R_3m8qfqgmiVThkKo,53,A woman,British Columbia,Some high school,Christian Reformed,Disabled,10
R_DNRPifX4DhzVoJj,38,A woman,British Columbia,Some post-secondary,Mennonite,Working full-time,6
R_2ctQ6gVrX0E5znS,35,A woman,Quebec,Some high school,Catholic,Unemployed,6
R_1hYatm6gw0Dfl3V,49,A man,British Columbia,College/technical diploma,Muslim,Working full-time,6
R_31bLpQym4jF4dT4,67,A woman,Ontario,High school,Lutheran,Retired,2
R_cu3fno0KErQNyHn,49,A woman,Ontario,Master's degree,Catholic,Working full-time,5
R_1OUdXUgX2E1cY2Q,71,A woman,Saskatchewan,Some post-secondary,United Church,Working full-time,7
R_2U5X7ZYVkSqmEFy,67,A woman,Quebec,Bachelor's degree,Don't know/ Prefer not to answer,Retired,3
R_3MrMKr7Gb0koeOe,72,A man,Alberta,Master's degree,Catholic,Working part-time,7
R_2tLRE16bwBPih3I,48,A man,Quebec,Master's degree,None/Atheist,Self-employed,7
R_1oATZWfVEkkf3xa,73,A man,Nova Scotia,Master's degree,Other,Retired,0
R_3EWjvrCJVNPEZfG,47,A man,Manitoba,Some post-secondary,None/Atheist,Working full-time,5
R_8e355gn3uAOBrah,29,A woman,Quebec,College/technical diploma,Catholic,Working full-time,5
R_Pvp5YGmSKmcUPAt,71,A woman,Ontario,Master's degree,Anglican,Retired,8
R_SZPnRroP6VBhfPz,50,A man,Quebec,College/technical diploma,Catholic,Working full-time,2
R_3lXsQ3ybMlgTscP,27,A man,Quebec,Some post-secondary,Orthodox Christian,Working full-time,9
R_1l66j9yYM7XldKy,38,A woman,Quebec,College/technical diploma,Catholic,Working full-time,6
R_1mWzPCQkDMRcoL7,45,A woman,Ontario,Master's degree,Catholic,Working full-time,1
R_332rNH08xW5FUcJ,29,A man,Quebec,Bachelor's degree,Catholic,Working full-time,5
R_12fgWyh7NIEqFfq,65,A woman,British Columbia,College/technical diploma,None/Atheist,Retired,8
R_bmAavLyMCljPbjz,33,A woman,Ontario,Professional degree or doctorate,Muslim,Caring for family,7
R_3DpRo5F9JiTx27p,56,A man,Alberta,Bachelor's degree,Don't know/ Prefer not to answer,Retired,6
R_3p5VvqP4H50Vw0B,34,A woman,Ontario,Some post-secondary,Catholic,Working full-time,8
R_2fcSzmBfwBvUJk6,65,A man,Quebec,Some post-secondary,None/Atheist,Working full-time,6
R_2RP0FFiW3T08sxN,30,A woman,Quebec,High school,None/Atheist,Working full-time,6
R_3oBcWTpG5zVbqtR,45,A man,Alberta,Master's degree,Catholic,Working full-time,10
R_2dsjpJjpjbWz3uZ,37,A woman,British Columbia,Bachelor's degree,Sikh,Working full-time,7
R_2tGpxjIQpMVotJn,44,A woman,Alberta,Master's degree,None/Atheist,Working full-time,2
R_1KxtBqJZX5emTjX,66,A man,Quebec,College/technical diploma,Catholic,Working full-time,7
R_RXHCxtKQD8NQlod,57,A man,Alberta,College/technical diploma,Catholic,Working full-time,7
R_2awS3nRi7gTPZUa,20,A man,Ontario,High school,Muslim,Student,8
R_1roGFcDKhQCLgAr,46,A woman,Saskatchewan,College/technical diploma,Agnostic,Working full-time,3
R_3GAJPsHJcEoM1Nv,59,A man,Saskatchewan,Bachelor's degree,Evangelical/Pentecostal,Working part-time,4
R_2qlqzrJquLlivpr,59,A woman,Ontario,Master's degree,Agnostic,Working full-time,5
R_zSiwGQne1xdPwPL,63,A woman,Alberta,High school,Evangelical/Pentecostal,Self-employed,5
R_25Km27IQdzASQ4V,47,A woman,Quebec,High school,Catholic,Working full-time,1
R_306L0eUgCNNYMOS,64,A woman,Quebec,Some high school,Catholic,Retired and working,7
R_1Owtv98S4AfZ6sx,72,A woman,Saskatchewan,College/technical diploma,United Church,Retired,6
R_pMMURQw6CV9SMi5,59,A man,Quebec,Master's degree,Presbyterian,Working full-time,8
R_5BjG6RzMPcWPMT7,55,A man,Quebec,High school,Catholic,Disabled,7
R_dc0NCqReFS5mj3X,49,A woman,Ontario,Bachelor's degree,None/Atheist,Working full-time,5
R_2TmZ50OgS10V2lu,67,A woman,Saskatchewan,Bachelor's degree,Presbyterian,Retired,7
R_1f1ODLPPfAWqVDn,69,A woman,Quebec,High school,Catholic,Retired,7
R_1IMGHh4bxHnfpTV,34,A man,Quebec,High school,Catholic,Working full-time,5
R_2YDIMmSqt6Zzkjl,56,A woman,Ontario,Bachelor's degree,Muslim,Caring for family and working,8
R_3IReh4cCgfLzjL4,51,A woman,Quebec,High school,None/Atheist,Working full-time,4
R_21HbR2mlaAh5gI8,31,A woman,Ontario,Master's degree,None/Atheist,Working full-time,3
R_3knfCRcPlhjHqOh,55,A woman,British Columbia,College/technical diploma,Catholic,Disabled,4
R_27fyP23rUomNOcm,33,A woman,Ontario,Bachelor's degree,Don't know/ Prefer not to answer,Working part-time,4
R_22WztVjRfHnCWRL,30,A woman,Nova Scotia,Bachelor's degree,None/Atheist,Working full-time,6
R_ehUiKqBsHhu5BD3,69,A woman,British Columbia,Bachelor's degree,Catholic,Retired,7
R_eeVWpC8B0SDLupz,63,A woman,British Columbia,Some post-secondary,Other,Caring for family and working,5
R_1g7tCTcgZk32Sxu,34,A woman,Quebec,Some post-secondary,Catholic,Unemployed,2
R_3jeoGR07xh06Lga,57,A woman,Prince Edward Island,Bachelor's degree,None/Atheist,Disabled,3
R_6l0FtX3DKD5ybbH,79,A man,Quebec,Some post-secondary,Catholic,Retired,7
R_pxyOtM2rTQWO1r3,63,A man,Quebec,Bachelor's degree,Catholic,Retired,5
R_1n6fe8pL3oQCHy7,31,A man,Quebec,Elementary school,Hindu,Retired and working,6
R_Cg17bP5ZrF9lC7f,35,A man,Manitoba,High school,None/Atheist,Working full-time,8
R_269z3BuAvxR890x,66,A woman,Alberta,Bachelor's degree,Protestant,Retired,7
R_2Y4Fwgzxm8MtO4t,28,A woman,Ontario,College/technical diploma,None/Atheist,Working part-time,7
R_12gVd849fCLgbqh,50,A man,Prince Edward Island,Some post-secondary,Agnostic,Retired,5
R_Wq8Ce36ynCFpCVP,44,A man,Quebec,Bachelor's degree,None/Atheist,Self-employed,3
R_23UKkyEZf0TPww0,59,A woman,Quebec,College/technical diploma,None/Atheist,Retired,3
R_24kFBYQV3m2OO2c,67,A woman,New Brunswick,College/technical diploma,Anglican,Retired,7
R_2zIRvxHjz9SquLo,68,A woman,Ontario,High school,Catholic,Retired,7
R_1FEfwpGrEqhulKJ,54,A woman,Quebec,Some post-secondary,Christian Reformed,Working part-time,6
R_1IMIpjb6FGvan3C,39,A man,Ontario,Bachelor's degree,Sikh,Working full-time,8
R_25TPZGs15L0kljW,56,A man,Quebec,Master's degree,None/Atheist,Working part-time,5
R_6zihxNkr9UI0SgF,41,A woman,Nova Scotia,College/technical diploma,None/Atheist,Working full-time,2
R_1I4Vzm8Fb92R7O4,40,A woman,Ontario,Bachelor's degree,Catholic,Working full-time,3
R_2TN4l9IrBhw5LIx,63,A man,Nova Scotia,College/technical diploma,Catholic,Retired,7
R_3kdYypMif0LWe8e,29,A woman,Ontario,Bachelor's degree,None/Atheist,Working part-time,3
R_2aODjyVFIoO6VjU,64,A man,Quebec,High school,Catholic,Retired,6
R_3KoToUKdA99Xbma,76,A man,Quebec,College/technical diploma,Catholic,Retired,5
R_3kGRTc1YsKzf8oS,45,A man,Quebec,Some post-secondary,None/Atheist,Self-employed,7
R_3eyt3nyaKwYFFlG,61,A woman,Ontario,Some post-secondary,None/Atheist,Retired,2
R_24JlJfrm8tVSWqd,70,A woman,Quebec,College/technical diploma,Don't know/ Prefer not to answer,Retired,6
R_30oczoliWPHdEzE,46,A woman,Ontario,College/technical diploma,Catholic,Disabled,5
R_3peUUSGwZLqUEOX,56,A woman,Ontario,Some post-secondary,Anglican,Working part-time,4
R_2xAfc73c9AqfZRy,65,A woman,Quebec,Professional degree or doctorate,Catholic,Retired,2
R_vrdQ8Nl2UTfX8xb,48,A man,Ontario,Master's degree,None/Atheist,Self-employed,6
R_1Q3DPwjxopc7j2b,58,A woman,Quebec,College/technical diploma,Lutheran,Working full-time,8
R_PZN0HLwQs4ZIK77,53,A woman,New Brunswick,Some post-secondary,None/Atheist,Caring for family,4
R_1MKYcpax9AIOQBh,99,A woman,Quebec,College/technical diploma,Catholic,Working full-time,5
R_33yBMkecXitcOM0,62,A woman,Ontario,College/technical diploma,Agnostic,Working part-time,6
R_29p1izIX66SmZ94,65,A man,Quebec,High school,Agnostic,Retired,9
R_2zl6HEk48i6UaYL,72,A woman,Ontario,College/technical diploma,None/Atheist,Retired,2
R_RIaVP9jjAbTaBDr,51,A man,Ontario,High school,Catholic,Working full-time,5
R_31dAnCtSo3JZ7Xv,53,A man,Ontario,Master's degree,None/Atheist,Working full-time,8
R_eXr92JeJpELSWPv,68,A man,Quebec,Bachelor's degree,Agnostic,Retired,1
R_r11UQyWegcsVcQx,55,A woman,Manitoba,Bachelor's degree,None/Atheist,Retired,6
R_z6j0zp7HZRB12F3,53,A man,Newfoundland and Labrador,Master's degree,Don't know/ Prefer not to answer,Working full-time,3
R_2OI2Xr8r8y84JEP,66,A man,New Brunswick,Bachelor's degree,Baptist,Retired,7
R_22REGq7KyeLxubi,41,A man,Ontario,Bachelor's degree,Catholic,Working full-time,5
R_2VCMcREJeG37UBc,49,A woman,Alberta,College/technical diploma,Sikh,Unemployed,6
R_pGBTVAWc0JmWhG1,45,A woman,Ontario,College/technical diploma,Anglican,Working full-time,4
R_2YWksOgTxg1FHne,52,A man,Saskatchewan,Professional degree or doctorate,United Church,Working full-time,8
R_ut9KdW9iuyZkfE5,62,A woman,Ontario,High school,None/Atheist,Self-employed,6
R_2B4bSUqlHcf7SR0,63,A man,Saskatchewan,College/technical diploma,None/Atheist,Retired,5
R_3lXE3ifY7LRFbeO,72,A man,Quebec,Some post-secondary,Catholic,Retired,5
R_1db4tCsP8qjNRUk,32,A man,Quebec,High school,None/Atheist,Working part-time,7
R_2X0AtG2Ryg4hJ3W,26,A man,Alberta,Bachelor's degree,Sikh,Working full-time,1
R_2wyvYiTRexM1MR3,52,A man,Alberta,College/technical diploma,Catholic,Working full-time,7
R_2QrFHyZ9e2P6TKA,18,A woman,Ontario,Some high school,None/Atheist,Working part-time,2
R_1LMqbtfvZcXBCT9,70,A woman,Quebec,College/technical diploma,Anglican,Retired,3
R_2E5Lt66OrTSn1AR,63,A woman,Ontario,College/technical diploma,Catholic,Self-employed,7
R_2xGix7YCMExYuDc,73,A woman,Nova Scotia,College/technical diploma,Baptist,Retired,6
R_2w0tW3ilxYuEFHM,75,A man,Alberta,College/technical diploma,Other,Retired,7
R_PTyXa5PaqCuTjSp,50,A woman,Ontario,Some high school,Anglican,Disabled,10
R_2TLvKF1f3L6Ot3j,62,A man,Quebec,Master's degree,None/Atheist,Working full-time,3
R_1gNEC72PzECnDZm,53,A man,Quebec,Bachelor's degree,Catholic,Working full-time,6
R_3ReaAU9aLgdZfk7,29,A woman,Ontario,Master's degree,Agnostic,Working part-time,2
R_1fd8YXJnCkLLzXe,66,A woman,Quebec,Master's degree,Catholic,Retired,5
R_1NytB1VD0rOTuHE,44,A woman,Quebec,College/technical diploma,Catholic,Working full-time,5
R_2uOOnFglTtbA1lm,40,A man,Ontario,High school,Don't know/ Prefer not to answer,Disabled,3
R_29gdzlCs41dga6w,37,A woman,Quebec,College/technical diploma,None/Atheist,Working part-time,5
R_OqC2f3s5GL6NuAV,50,A woman,British Columbia,Some post-secondary,None/Atheist,Working full-time,10
R_2dR5N9aD5ahxT38,57,A woman,Nova Scotia,Some high school,Agnostic,Unemployed,7
R_3sLNx5Z97UmEza9,58,A man,Newfoundland and Labrador,College/technical diploma,Don't know/ Prefer not to answer,Retired,5
R_1pJqpcrWxmZ0QVU,27,A man,Ontario,College/technical diploma,Catholic,Working full-time,4
R_32QmJQ0He6zBFvb,19,A woman,Ontario,Some post-secondary,Evangelical/Pentecostal,Working part-time,0
R_3DtPv5SsDbWDXhz,40,A woman,Quebec,Some post-secondary,Catholic,Working full-time,7
R_2yrsBKqZDQeOpcc,54,A woman,Ontario,Some post-secondary,Don't know/ Prefer not to answer,Working full-time,2
R_1nTKjSRZgOi6jws,20,A woman,Quebec,College/technical diploma,None/Atheist,Working full-time,0
R_2rOZhbshmMioozd,27,A woman,Manitoba,College/technical diploma,United Church,Working part-time,8
R_2BzllNG9r6AMR41,29,A woman,Ontario,Master's degree,Hindu,Working full-time,6
R_YYAUj9be17idKDv,35,A man,Ontario,College/technical diploma,Agnostic,Working full-time,1
R_1hKyOpgklfVMKOk,34,A man,Ontario,Bachelor's degree,Baptist,Working full-time,7
R_XGSlDr9gUnzC1SF,31,A man,Ontario,Some high school,Catholic,Disabled,3
R_2zU6iDmfnnSd5Jv,70,A man,Quebec,Some post-secondary,Catholic,Retired,5
R_A1CVkyWMkEtbUgF,35,A man,Ontario,Master's degree,Don't know/ Prefer not to answer,Working full-time,8
R_1OvnYmuwFz8XTEq,27,A woman,Saskatchewan,Bachelor's degree,Agnostic,Working full-time,2
R_2sZHFWGeXxcEPuU,52,A woman,British Columbia,High school,Mennonite,Caring for family,2
R_1DUSNFXIQTqR1UM,44,A woman,Alberta,Some post-secondary,Catholic,Disabled,8
R_26apwPZnNETxkZi,29,A woman,Quebec,Master's degree,None/Atheist,Working full-time,2
R_2qaPiod3FXy2uXu,37,A woman,Ontario,Master's degree,None/Atheist,Working full-time,10
R_2coT6llyEHYsH17,66,A woman,Saskatchewan,Bachelor's degree,United Church,Retired,3
R_1mKjkn1t73jHn2a,36,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",Nova Scotia,College/technical diploma,Don't know/ Prefer not to answer,Working part-time,1
R_3E9VDM5zS4H7eme,36,A woman,Quebec,Master's degree,Don't know/ Prefer not to answer,Working full-time,0
R_1d3JCHJwvvwpPmM,69,A woman,Quebec,Bachelor's degree,Other,Retired,5
R_3GAFsZh076b0j4W,66,A woman,Ontario,Some post-secondary,Catholic,Working part-time,6
R_2QEBJ9LgqvONu7n,60,A man,Newfoundland and Labrador,Bachelor's degree,Other,Retired,3
R_20TnphjezsN6Z4i,43,A woman,New Brunswick,Some post-secondary,Don't know/ Prefer not to answer,Working full-time,8
R_24GU9hwtRN1vkyJ,44,A man,Quebec,College/technical diploma,Catholic,Working full-time,9
R_aa65PxyaCtUPLwt,68,A man,Quebec,High school,Catholic,Retired,5
R_242y0NCDInUhNyP,35,A man,Ontario,Professional degree or doctorate,Agnostic,Working full-time,8
R_3IbBWOVCU1IhTFY,60,A man,Manitoba,Some post-secondary,None/Atheist,Self-employed,0
R_1LFyErYh8O0ditX,48,A woman,Ontario,Bachelor's degree,Catholic,Unemployed,4
R_D6tWGagz1j7rCV3,37,A man,New Brunswick,Some post-secondary,Agnostic,Self-employed,1
R_1rD3GpFywN7T3bz,48,A man,Ontario,Bachelor's degree,Agnostic,Working full-time,4
R_2fpWmExwaoERrQJ,53,A man,New Brunswick,Some post-secondary,Catholic,Working full-time,8
R_eRkIRkJQ0rySd0t,53,A woman,Newfoundland and Labrador,Some post-secondary,Catholic,Retired,3
R_1erPAs7xTsQvxAR,51,A woman,Alberta,High school,Mennonite,Working part-time,8
R_1OqO4uUBMzRYGRo,27,A woman,Alberta,Bachelor's degree,Agnostic,Working full-time,3
R_239IHWPJO3cUo4C,48,A woman,Newfoundland and Labrador,Bachelor's degree,None/Atheist,Working full-time,2
R_3NEdvQq9edDsbvB,37,A woman,Saskatchewan,Bachelor's degree,Catholic,Self-employed,4
R_0lG6UhcxcIaBLpv,28,A woman,Ontario,Bachelor's degree,None/Atheist,Working full-time,3
R_0j3sxF9RFeIPnAB,65,A man,Alberta,College/technical diploma,Protestant,Self-employed,7
R_rpEMjcA9V5Pa8tX,64,A man,New Brunswick,Professional degree or doctorate,Protestant,Working full-time,6
R_3dEqs0BnKpPP6dK,48,A man,Alberta,Bachelor's degree,None/Atheist,Working full-time,7
R_UlKfCwKV4f5vLI5,63,A man,Quebec,High school,Other,Retired,3
R_ukTJ9eIftFClknD,69,A man,British Columbia,Some post-secondary,Catholic,Retired,7
R_10Z2fXILpqnM2pZ,49,A woman,Manitoba,College/technical diploma,Catholic,Working full-time,5
R_1H6LrpmoyPtpsNQ,36,A woman,Quebec,Some high school,None/Atheist,Working part-time,6
R_9sEcol4vh5jlQsx,21,A woman,Alberta,Some post-secondary,Mormon,Student,7
R_wLyQmGxxLOCSp5n,66,A man,Quebec,Bachelor's degree,Catholic,Retired,7
R_1dF7SO4UztonIr4,47,A woman,Manitoba,Bachelor's degree,None/Atheist,Working full-time,7
R_30pjDEIxsx2QhCF,38,A woman,Ontario,Some post-secondary,Catholic,Working part-time,3
R_2bPOmQqhp4N7snB,61,A woman,Ontario,Professional degree or doctorate,Anglican,Retired,6
R_bwuyW4yeuSk2pJD,39,A woman,Ontario,Some post-secondary,Sikh,Working full-time,9
R_1gpWWgYbceJbDmv,50,A man,Quebec,Master's degree,Catholic,Working full-time,5
R_2CJr6LOH4F2N761,67,A man,Ontario,Bachelor's degree,Salvation Army,Working full-time,6
R_tVZp33I6sdW5Yn7,66,A woman,Manitoba,College/technical diploma,Baptist,Retired,10
R_1GNvlbHHCKbgsEi,78,A man,British Columbia,Professional degree or doctorate,Evangelical/Pentecostal,Retired,8
R_1GK4QL8uPS4DMoY,47,A woman,New Brunswick,Professional degree or doctorate,Anglican,Working full-time,0
R_2QfkDTrsT0HrB4j,40,A woman,Alberta,Master's degree,Don't know/ Prefer not to answer,Self-employed,4
R_2504j0M6lj8R929,66,A man,Quebec,Some high school,Catholic,Retired,7
R_6S75xckaD8azkQN,49,A woman,Ontario,Bachelor's degree,Catholic,Self-employed,6
R_2dT7u57X5jCFHEg,45,A woman,Saskatchewan,College/technical diploma,Catholic,Self-employed,8
R_33d7J2hh5Dqn6yz,32,A woman,Alberta,Master's degree,Anglican,Working full-time,7
R_3iISz4Iin1paPfP,66,A man,Quebec,Some post-secondary,None/Atheist,Retired,3
R_2BysLozatOpvQnj,65,A man,British Columbia,College/technical diploma,Catholic,Retired,7
R_2TRBCT4uXwVImFy,41,A man,Ontario,Bachelor's degree,Catholic,Working full-time,6
R_1M0vQswU6XXbpg7,63,A man,New Brunswick,College/technical diploma,None/Atheist,Working part-time,2
R_3k03YEj4NIXvq9F,46,A woman,Ontario,Master's degree,Catholic,Working full-time,7
R_28ZoR2ahCuX8ncW,23,A woman,Ontario,Bachelor's degree,Agnostic,Working full-time,3
R_0B4PgWPbxZJbFh7,26,A woman,Manitoba,Bachelor's degree,None/Atheist,Working full-time,4
R_3s1tDbT3UO11nbX,67,A man,Manitoba,Some post-secondary,None/Atheist,Retired,5
R_1GvrQyV5nIZisQm,73,A man,British Columbia,High school,None/Atheist,Retired,4
R_8zW0MXo4WHEKcBb,22,A woman,Alberta,Bachelor's degree,None/Atheist,Working full-time,6
R_3gOvICOSRpfK4gX,67,A woman,Ontario,High school,Protestant,Working full-time,5
R_dnHBTACRgrPznQR,36,A woman,Quebec,College/technical diploma,Other,Working full-time,6
R_cOrO9APBsBJMQi5,52,A man,Ontario,Bachelor's degree,Presbyterian,Working full-time,6
R_31pwdueJSdKXmea,59,A woman,Alberta,Bachelor's degree,United Church,Working part-time,10
R_2SHwTRbjMIhO791,44,A man,Quebec,Bachelor's degree,Buddhist,Working full-time,3
R_3HvNB3E5eaMdRaa,65,A man,British Columbia,Master's degree,None/Atheist,Retired,4
R_zeAR4APmJDEto8p,68,A man,Saskatchewan,High school,Christian Reformed,Retired,5
R_1KvCgAF2hMnz3nh,34,A man,New Brunswick,Bachelor's degree,Catholic,Working full-time,5
